year,stage,date,team1_code,team2_code,score1,score2,attendance,referee,referee_nation,stadium,source_page
2026,round-of-16,2026-07-06,POR,ESP,0,1,70649,Anthony Taylor,England,"AT&T Stadium, Arlington",2026 FIFA World Cup knockout stage
2026,round-of-16,2026-07-06,USA,BEL,1,4,66925,Adham Makhadmeh,Jordan,"Lumen Field, Seattle",2026 FIFA World Cup knockout stage
2026,round-of-16,2026-07-07,ARG,EGY,3,2,68239,François Letexier,France,"Mercedes-Benz Stadium, Atlanta",2026 FIFA World Cup knockout stage
2026,round-of-16,2026-07-07,SUI,COL,0,0,52497,Iván Barton,El Salvador,"BC Place, Vancouver",2026 FIFA World Cup knockout stage
2026,quarter-final,2026-07-09,FRA,MAR,2,0,63811,Facundo Tello,Argentina,"Gillette Stadium, Foxborough",2026 FIFA World Cup knockout stage
2026,quarter-final,2026-07-10,ESP,BEL,2,1,70492,Michael Oliver,England,"SoFi Stadium, Inglewood",2026 FIFA World Cup knockout stage
2026,quarter-final,2026-07-11,ARG,SUI,3,1,69045,João Pinheiro,Portugal,"Arrowhead Stadium, Kansas City",2026 FIFA World Cup knockout stage
2026,quarter-final,2026-07-11,NOR,ENG,1,2,64478,Clément Turpin,France,"Hard Rock Stadium, Miami Gardens",2026 FIFA World Cup knockout stage
2026,semi-final,2026-07-14,FRA,ESP,0,2,70176,Iván Barton,El Salvador,"AT&T Stadium, Arlington",2026 FIFA World Cup knockout stage
2026,semi-final,2026-07-15,ENG,ARG,1,2,68239,Ismail Elfath,United States,"Mercedes-Benz Stadium, Atlanta",2026 FIFA World Cup knockout stage
2026,third-place,2026-07-18,FRA,ENG,4,6,64478,Jesús Valenzuela,Venezuela,"Hard Rock Stadium, Miami Gardens",2026 FIFA World Cup knockout stage
2026,final,2026-07-19,ESP,ARG,1,0,80663,Slavko Vinčić,Slovenia,"MetLife Stadium, East Rutherford",2026 FIFA World Cup final
