year,stage,date,team1_code,team2_code,score1,score2,attendance,referee,referee_nation,stadium,source_page
1970,group,1970-06-03,FRG,MAR,2,1,12942,Laurens van Ravens,Netherlands,"Estadio Nou Camp, León",1970 FIFA World Cup Group 4
1970,group,1970-06-03,ITA,SWE,1,0,13433,Jack Taylor,England,"Estadio Luis Dosal, Toluca",1970 FIFA World Cup Group 2
1970,group,1970-06-06,PER,MAR,3,0,13537,Tofiq Bahramov,Soviet Union,"Estadio Nou Camp, León",1970 FIFA World Cup Group 4
1970,group,1970-06-06,ROU,TCH,2,1,56818,Diego De Leo,Mexico,"Estadio Jalisco, Guadalajara",1970 FIFA World Cup Group 3
1970,group,1970-06-06,URS,BEL,4,1,95261,Rudolf Scheurer,Switzerland,"Estadio Azteca, Mexico City",1970 FIFA World Cup Group 1
1970,group,1970-06-06,URU,ITA,0,0,29968,Rudi Glöckner,East Germany,"Estadio Cuauhtémoc, Puebla",1970 FIFA World Cup Group 2
1970,group,1970-06-07,BRA,ENG,1,0,66843,Abraham Klein,Israel,"Estadio Jalisco, Guadalajara",1970 FIFA World Cup Group 3
1970,group,1970-06-07,FRG,BUL,5,2,12710,José María Ortiz de Mendíbil,Spain,"Estadio Nou Camp, León",1970 FIFA World Cup Group 4
1970,group,1970-06-07,MEX,SLV,4,0,103058,Ali Kandil,United Arab Republic,"Estadio Azteca, Mexico City",1970 FIFA World Cup Group 1
1970,group,1970-06-07,SWE,ISR,1,1,9624,Seyoum Tarekegn,Ethiopia,"Estadio Luis Dosal, Toluca",1970 FIFA World Cup Group 2
1970,group,1970-06-10,BRA,ROU,3,2,50804,Ferdinand Marschall,Austria,"Estadio Jalisco, Guadalajara",1970 FIFA World Cup Group 3
1970,group,1970-06-10,FRG,PER,3,1,17875,Abel Aguilar Elizalde,Mexico,"Estadio Nou Camp, León",1970 FIFA World Cup Group 4
1970,group,1970-06-10,SWE,URU,1,0,18163,Henry Landauer,United States,"Estadio Cuauhtémoc, Puebla",1970 FIFA World Cup Group 2
1970,group,1970-06-10,URS,SLV,2,0,89979,Rafael Hormazábal Díaz,Chile,"Estadio Azteca, Mexico City",1970 FIFA World Cup Group 1
1970,group,1970-06-11,BUL,MAR,1,1,12299,Antonio Ribeiro Saldanha,Portugal,"Estadio Nou Camp, León",1970 FIFA World Cup Group 4
1970,group,1970-06-11,ENG,TCH,1,0,49292,Roger Machin,France,"Estadio Jalisco, Guadalajara",1970 FIFA World Cup Group 3
1970,group,1970-06-11,ITA,ISR,0,0,9890,Ayrton Vieira de Moraes,Brazil,"Estadio Luis Dosal, Toluca",1970 FIFA World Cup Group 2
1970,group,1970-06-11,MEX,BEL,1,0,108192,Ángel Norberto Coerezza,Argentina,"Estadio Azteca, Mexico City",1970 FIFA World Cup Group 1
1970,quarter-final,1970-06-14,BRA,PER,4,2,54233,Vital Loraux,Belgium,"Estadio Jalisco, Guadalajara",1970 FIFA World Cup knockout stage
1970,quarter-final,1970-06-14,FRG,ENG,3,2,23357,Ángel Norberto Coerezza,Argentina,"Estadio Nou Camp, León",1970 FIFA World Cup knockout stage
1970,quarter-final,1970-06-14,ITA,MEX,4,1,26851,Rudolf Scheurer,Switzerland,"Estadio Luis Dosal, Toluca",1970 FIFA World Cup knockout stage
1970,quarter-final,1970-06-14,URS,URU,0,1,26085,Laurens van Ravens,Netherlands,"Estadio Azteca, Mexico City",1970 FIFA World Cup knockout stage
1970,semi-final,1970-06-17,BRA,URU,3,1,51261,José María Ortiz de Mendibil,Spain,"Estadio Jalisco, Guadalajara",1970 FIFA World Cup knockout stage
1970,semi-final,1970-06-17,ITA,FRG,4,3,102444,Arturo Yamasaki,Mexico,"Estadio Azteca, Mexico City",Italy v West Germany (1970 FIFA World Cup)
1970,third-place,1970-06-20,FRG,URU,1,0,104403,Antonio Sbardella,Italy,"Estadio Azteca, Mexico City",1970 FIFA World Cup knockout stage
1970,final,1970-06-21,BRA,ITA,4,1,107412,Rudi Glöckner,East Germany,"Estadio Azteca, Mexico City",1970 FIFA World Cup final
1974,group,1974-06-13,BRA,YUG,0,0,62000,Rudolf Scheurer,Switzerland,"Waldstadion, Frankfurt",1974 FIFA World Cup Group 2
1974,group,1974-06-14,FRG,CHI,1,0,81100,Doğan Babacan,Turkey,"Olympiastadion, West Berlin",1974 FIFA World Cup Group 1
1974,group,1974-06-14,GDR,AUS,2,0,17000,Youssou N'Diaye,Senegal,"Volksparkstadion, Hamburg",1974 FIFA World Cup Group 1
1974,group,1974-06-14,ZAI,SCO,0,2,27000,Gerhard Schulenburg,West Germany,"Westfalenstadion, Dortmund",1974 FIFA World Cup Group 2
1974,group,1974-06-15,ITA,HAI,3,1,53000,Vicente Llobregat,Venezuela,"Olympiastadion, Munich",1974 FIFA World Cup Group 4
1974,group,1974-06-15,POL,ARG,3,2,32700,Clive Thomas,Wales,"Neckarstadion, Stuttgart",1974 FIFA World Cup Group 4
1974,group,1974-06-15,SWE,BUL,0,0,23800,Edison Peréz Núñez,Peru,"Rheinstadion, Düsseldorf",1974 FIFA World Cup Group 3
1974,group,1974-06-15,URU,NED,0,2,55100,Károly Palotai,Hungary,"Niedersachsenstadion, Hanover",1974 FIFA World Cup Group 3
1974,group,1974-06-18,AUS,FRG,0,3,53300,Mahmoud Mustafa Kamel,Egypt,"Volksparkstadion, Hamburg",1974 FIFA World Cup Group 1
1974,group,1974-06-18,CHI,GDR,1,1,28300,Aurelio Angonese,Italy,"Olympiastadion, West Berlin",1974 FIFA World Cup Group 1
1974,group,1974-06-18,SCO,BRA,0,0,62000,Arie van Gemert,Netherlands,"Waldstadion, Frankfurt",1974 FIFA World Cup Group 2
1974,group,1974-06-18,YUG,ZAI,9,0,31700,Omar Delgado Gómez,Colombia,"Parkstadion, Gelsenkirchen",1974 FIFA World Cup Group 2
1974,group,1974-06-19,ARG,ITA,1,1,70100,Pavel Kazakov,Soviet Union,"Neckarstadion, Stuttgart",1974 FIFA World Cup Group 4
1974,group,1974-06-19,BUL,URU,1,1,13400,Jack Taylor,England,"Niedersachsenstadion, Hanover",1974 FIFA World Cup Group 3
1974,group,1974-06-19,HAI,POL,0,7,25300,Govindasamy Suppiah,Singapore,"Olympiastadion, Munich",1974 FIFA World Cup Group 4
1974,group,1974-06-19,NED,SWE,0,0,53700,Werner Winsemann,Canada,"Westfalenstadion, Dortmund",1974 FIFA World Cup Group 3
1974,group,1974-06-22,AUS,CHI,0,0,17400,Jafar Namdar,Iran,"Olympiastadion, West Berlin",1974 FIFA World Cup Group 1
1974,group,1974-06-22,GDR,FRG,1,0,60200,Ramón Barreto Ruíz,Uruguay,"Volksparkstadion, Hamburg",East Germany v West Germany (1974 FIFA World Cup)
1974,group,1974-06-22,SCO,YUG,1,1,56000,Alfonso González Archundía,Mexico,"Waldstadion, Frankfurt",1974 FIFA World Cup Group 2
1974,group,1974-06-22,ZAI,BRA,0,3,36200,Nicolae Rainea,Romania,"Parkstadion, Gelsenkirchen",1974 FIFA World Cup Group 2
1974,group,1974-06-23,ARG,HAI,4,1,25900,Pablo Sánchez Ibáñez,Spain,"Olympiastadion, Munich",1974 FIFA World Cup Group 4
1974,group,1974-06-23,BUL,NED,1,4,53300,Tony Boskovic,Australia,"Westfalenstadion, Dortmund",1974 FIFA World Cup Group 3
1974,group,1974-06-23,POL,ITA,2,1,70100,Hans-Joachim Weyland,West Germany,"Neckarstadion, Stuttgart",1974 FIFA World Cup Group 4
1974,group,1974-06-23,SWE,URU,3,0,28300,Erich Linemayr,Austria,"Rheinstadion, Düsseldorf",1974 FIFA World Cup Group 3
1974,group-2,1974-06-26,BRA,GDR,1,0,59863,Clive Thomas,Wales,"Niedersachsenstadion, Hanover",1974 FIFA World Cup Group A
1974,group-2,1974-06-26,NED,ARG,4,0,56548,Bob Davidson,Scotland,"Parkstadion, Gelsenkirchen",1974 FIFA World Cup Group A
1974,group-2,1974-06-26,SWE,POL,0,1,44955,Ramón Barreto,Uruguay,"Neckarstadion, Stuttgart",1974 FIFA World Cup Group B
1974,group-2,1974-06-26,YUG,FRG,0,2,67385,Armando Marques,Brazil,"Rheinstadion, Düsseldorf",1974 FIFA World Cup Group B
1974,group-2,1974-06-30,ARG,BRA,1,2,39400,Vital Loraux,Belgium,"Niedersachsenstadion, Hanover",1974 FIFA World Cup Group A
1974,group-2,1974-06-30,FRG,SWE,4,2,67800,Pavel Kazakov,Soviet Union,"Rheinstadion, Düsseldorf",1974 FIFA World Cup Group B
1974,group-2,1974-06-30,GDR,NED,0,2,68348,Rudolf Scheurer,Switzerland,"Parkstadion, Gelsenkirchen",1974 FIFA World Cup Group A
1974,group-2,1974-06-30,POL,YUG,2,1,58000,Rudi Glöckner,East Germany,"Waldstadion, Frankfurt",1974 FIFA World Cup Group B
1974,group-2,1974-07-03,ARG,GDR,1,1,54254,Jack Taylor,England,"Parkstadion, Gelsenkirchen",1974 FIFA World Cup Group A
1974,group-2,1974-07-03,NED,BRA,2,0,53700,Kurt Tschenscher,West Germany,"Westfalenstadion, Dortmund",1974 FIFA World Cup Group A
1974,group-2,1974-07-03,POL,FRG,0,1,62000,Erich Linemayr,Austria,"Waldstadion, Frankfurt",1974 FIFA World Cup Group B
1974,group-2,1974-07-03,SWE,YUG,2,1,41300,Luis Pestarino,Argentina,"Rheinstadion, Düsseldorf",1974 FIFA World Cup Group B
1974,third-place,1974-07-06,BRA,POL,0,1,77100,Aurelio Angonese,Italy,"Olympiastadion, Munich",1974 FIFA World Cup knockout stage
1974,final,1974-07-07,NED,FRG,1,2,78200,Jack Taylor,England,"Olympiastadion, Munich",1974 FIFA World Cup final
1978,group,1978-06-01,FRG,POL,0,0,67579,Ángel Norberto Coerezza,Argentina,"Estadio Monumental, Buenos Aires",1978 FIFA World Cup Group 2
1978,group,1978-06-02,ARG,HUN,2,1,71615,Antonio Garrido,Portugal,"Estadio Monumental, Buenos Aires",1978 FIFA World Cup Group 1
1978,group,1978-06-02,ITA,FRA,2,1,42373,Nicolae Rainea,Romania,"Estadio José María Minella, Mar del Plata",1978 FIFA World Cup Group 1
1978,group,1978-06-02,TUN,MEX,3,1,17396,John Gordon,Scotland,"Estadio Gigante de Arroyito, Rosario",1978 FIFA World Cup Group 2
1978,group,1978-06-03,AUT,SPA,2,1,40841,Károly Palotai,Hungary,"Estadio José Amalfitani, Buenos Aires",1978 FIFA World Cup Group 3
1978,group,1978-06-03,BRA,SWE,1,1,32569,Clive Thomas,Wales,"Estadio José Maria Minella, Mar del Plata",1978 FIFA World Cup Group 3
1978,group,1978-06-03,NED,IRN,3,0,33431,Alfonso González Archundia,Mexico,"Estadio Ciudad de Mendoza, Mendoza",1978 FIFA World Cup Group 4
1978,group,1978-06-03,PER,SCO,3,1,37927,Ulf Eriksson,Sweden,"Chateau Carreras, Córdoba",1978 FIFA World Cup Group 4
1978,group,1978-06-06,ARG,FRA,2,1,71666,Jean Dubach,Switzerland,"Estadio Monumental, Buenos Aires",1978 FIFA World Cup Group 1
1978,group,1978-06-06,FRG,MEX,6,0,35258,Farouk Bouzo,Syria,"Estadio Chateau Carreras, Córdoba",1978 FIFA World Cup Group 2
1978,group,1978-06-06,ITA,HUN,3,1,26533,Ramón Barreto,Uruguay,"Estadio José María Minella, Mar del Plata",1978 FIFA World Cup Group 1
1978,group,1978-06-06,POL,TUN,1,0,9624,Ángel Franco Martínez,Spain,"Estadio Gigante de Arroyito, Rosario",1978 FIFA World Cup Group 2
1978,group,1978-06-07,AUT,SWE,1,0,41424,Charles Corver,Netherlands,"Estadio José Amalfitani, Buenos Aires",1978 FIFA World Cup Group 3
1978,group,1978-06-07,BRA,SPA,0,0,34771,Sergio Gonella,Italy,"Estadio José Maria Minella, Mar del Plata",1978 FIFA World Cup Group 3
1978,group,1978-06-07,NED,PER,0,0,28125,Adolf Prokop,East Germany,"Estadio Ciudad de Mendoza, Mendoza",1978 FIFA World Cup Group 4
1978,group,1978-06-07,SCO,IRN,1,1,7938,Youssou N'Diaye,Senegal,"Estadio Chateau Carreras, Córdoba",1978 FIFA World Cup Group 4
1978,group,1978-06-10,ARG,ITA,0,1,71712,Abraham Klein,Israel,"Estadio Monumental, Buenos Aires",1978 FIFA World Cup Group 1
1978,group,1978-06-10,FRA,HUN,3,1,23127,Arnaldo Cézar Coelho,Brazil,"Estadio José María Minella, Mar del Plata",1978 FIFA World Cup Group 1
1978,group,1978-06-10,FRG,TUN,0,0,30667,César Guerrero Orosco,Peru,"Estadio Olímpico Chateau Carreras, Córdoba",1978 FIFA World Cup Group 2
1978,group,1978-06-10,POL,MEX,3,1,22651,Jafar Namdar,Iran,"Estadio Gigante de Arroyito, Rosario",1978 FIFA World Cup Group 2
1978,group,1978-06-11,BRA,AUT,1,0,35221,Robert Wurtz,France,"Estadio José Maria Minella, Mar del Plata",1978 FIFA World Cup Group 3
1978,group,1978-06-11,PER,IRN,4,1,21262,Alojzy Jarguz,Poland,"Estadio Chateau Carreras, Córdoba",1978 FIFA World Cup Group 4
1978,group,1978-06-11,SCO,NED,3,2,35130,Erich Linemayr,Austria,"Estadio Ciudad de Mendoza, Mendoza",1978 FIFA World Cup Group 4
1978,group,1978-06-11,SPA,SWE,1,0,42132,Ferdinand Biwersi,West Germany,"Estadio José Amalfitani, Buenos Aires",1978 FIFA World Cup Group 3
1978,group-2,1978-06-14,ARG,POL,2,0,37091,Ulf Eriksson,Sweden,"Estadio Gigante de Arroyito, Rosario",1978 FIFA World Cup Group B
1978,group-2,1978-06-14,AUT,NED,1,5,25050,John Gordon,Scotland,"Estadio Chateau Carreras, Córdoba",1978 FIFA World Cup Group A
1978,group-2,1978-06-14,BRA,PER,3,0,31278,Nicolae Rainea,Romania,"Estadio Ciudad de Mendoza, Mendoza",1978 FIFA World Cup Group B
1978,group-2,1978-06-14,ITA,FRG,0,0,67547,Dušan Maksimović,Yugoslavia,"Estadio Monumental, Buenos Aires",1978 FIFA World Cup Group A
1978,group-2,1978-06-18,ARG,BRA,0,0,37326,Károly Palotai,Hungary,"Estadio Gigante de Arroyito, Rosario",1978 FIFA World Cup Group B
1978,group-2,1978-06-18,ITA,AUT,1,0,66695,Francis Rion,Belgium,"Estadio Monumental, Buenos Aires",1978 FIFA World Cup Group A
1978,group-2,1978-06-18,NED,FRG,2,2,40750,Ramón Barreto,Uruguay,"Estadio Chateau Carreras, Córdoba",1978 FIFA World Cup Group A
1978,group-2,1978-06-18,PER,POL,0,1,35288,Pat Partridge,England,"Estadio Ciudad de Mendoza, Mendoza",1978 FIFA World Cup Group B
1978,group-2,1978-06-21,ARG,PER,6,0,37315,Robert Wurtz,France,"Estadio Gigante de Arroyito, Rosario",Argentina v Peru (1978 FIFA World Cup)
1978,group-2,1978-06-21,AUT,FRG,3,2,38318,Abraham Klein,Israel,"Estadio Olímpico Chateau Carreras, Córdoba",Austria v West Germany (1978 FIFA World Cup)
1978,group-2,1978-06-21,BRA,POL,3,1,39586,Juan Silvagno Cavanna,Chile,"Estadio Ciudad de Mendoza, Mendoza",1978 FIFA World Cup Group B
1978,group-2,1978-06-21,ITA,NED,1,2,67433,Ángel Franco Martínez,Spain,"Estadio Monumental, Buenos Aires",1978 FIFA World Cup Group A
1978,third-place,1978-06-24,BRA,ITA,2,1,69659,Abraham Klein,Israel,"River Plate Stadium, Buenos Aires",1978 FIFA World Cup knockout stage
1978,final,1978-06-25,ARG,NED,3,1,71483,Sergio Gonella,Italy,"River Plate Stadium, Buenos Aires",1978 FIFA World Cup final
1982,group,1982-06-13,ARG,BEL,0,1,95000,Vojtech Christov,Czechoslovakia,"Camp Nou, Barcelona",1982 FIFA World Cup Group 3
1982,group,1982-06-14,BRA,URS,2,1,68000,Augusto Lamo Castillo,Spain,"Ramón Sánchez Pizjuán, Seville",1982 FIFA World Cup Group 6
1982,group,1982-06-14,ITA,POL,0,0,33000,Michel Vautrot,France,"Balaídos, Vigo",1982 FIFA World Cup Group 1
1982,group,1982-06-15,HUN,SLV,10,1,23000,Ibrahim Youssef Al-Doy,Bahrain,"Nuevo Estadio, Elche",Hungary v El Salvador (1982 FIFA World Cup)
1982,group,1982-06-15,PER,CMR,0,0,11000,Franz Wöhrer,Austria,"Estadio de Riazor, A Coruña",1982 FIFA World Cup Group 1
1982,group,1982-06-15,SCO,NZL,5,2,36000,David Socha,United States,"La Rosaleda Stadium, Málaga",1982 FIFA World Cup Group 6
1982,group,1982-06-16,ENG,FRA,3,1,44172,António Garrido,Portugal,"San Mamés, Bilbao",1982 FIFA World Cup Group 4
1982,group,1982-06-16,ESP,HON,1,1,49562,Arturo Ithurralde,Argentina,"Estadio Luis Casanova, Valencia",1982 FIFA World Cup Group 5
1982,group,1982-06-16,FRG,ALG,1,2,42000,Enrique Labo Revoredo,Peru,"El Molinón, Gijón",1982 FIFA World Cup Group 2
1982,group,1982-06-17,CHI,AUT,0,1,22500,Juan Daniel Cardellino,Uruguay,"Estadio Carlos Tartiere, Oviedo",1982 FIFA World Cup Group 2
1982,group,1982-06-17,TCH,KUW,1,1,25000,Benjamin Dwomoh,Ghana,"Estadio José Zorrilla, Valladolid",1982 FIFA World Cup Group 4
1982,group,1982-06-17,YUG,NIR,0,0,25000,Erik Fredriksson,Sweden,"La Romareda, Zaragoza",1982 FIFA World Cup Group 5
1982,group,1982-06-18,ARG,HUN,4,1,32093,Belaïd Lacarne,Algeria,"Estadio José Rico Pérez, Alicante",1982 FIFA World Cup Group 3
1982,group,1982-06-18,BRA,SCO,4,1,47379,Luis Paulino Siles,Costa Rica,"Estadio Benito Villamarín, Seville",1982 FIFA World Cup Group 6
1982,group,1982-06-18,ITA,PER,1,1,25000,Walter Eschweiler,West Germany,"Balaídos, Vigo",1982 FIFA World Cup Group 1
1982,group,1982-06-19,BEL,SLV,1,0,15000,Malcolm Moffat,Northern Ireland,"Nuevo Estadio, Elche",1982 FIFA World Cup Group 3
1982,group,1982-06-19,POL,CMR,0,0,19000,Alexis Ponnet,Belgium,"Estadio de Riazor, A Coruña",1982 FIFA World Cup Group 1
1982,group,1982-06-19,URS,NZL,3,0,19000,Yousef Alghoul,Libya,"La Rosaleda Stadium, Málaga",1982 FIFA World Cup Group 6
1982,group,1982-06-20,ENG,TCH,2,0,41123,Charles Corver,Netherlands,"San Mamés, Bilbao",1982 FIFA World Cup Group 4
1982,group,1982-06-20,ESP,YUG,2,1,48000,Henning Lund-Sørensen,Denmark,"Estadio Luis Casanova, Valencia",1982 FIFA World Cup Group 5
1982,group,1982-06-20,FRG,CHI,4,1,42000,Bruno Galler,Switzerland,"El Molinón, Gijón",1982 FIFA World Cup Group 2
1982,group,1982-06-21,ALG,AUT,0,2,22000,Tony Boskovic,Australia,"Estadio Carlos Tartiere, Oviedo",1982 FIFA World Cup Group 2
1982,group,1982-06-21,FRA,KUW,4,1,30043,Myroslav Stupar,Soviet Union,"Estadio José Zorrilla, Valladolid",1982 FIFA World Cup Group 4
1982,group,1982-06-21,HON,NIR,1,1,15000,Chan Tam Sun,Hong Kong,"La Romareda, Zaragoza",1982 FIFA World Cup Group 5
1982,group,1982-06-22,BEL,HUN,1,1,37000,Clive White,England,"Nuevo Estadio, Elche",1982 FIFA World Cup Group 3
1982,group,1982-06-22,POL,PER,5,1,25000,Mario Rubio Vázquez,Mexico,"Estadio de Riazor, A Coruña",1982 FIFA World Cup Group 1
1982,group,1982-06-22,URS,SCO,2,2,45000,Nicolae Rainea,Romania,"La Rosaleda Stadium, Málaga",1982 FIFA World Cup Group 6
1982,group,1982-06-23,ARG,SLV,2,0,32500,Luis Barrancos,Bolivia,"Estadio José Rico Pérez, Alicante",1982 FIFA World Cup Group 3
1982,group,1982-06-23,BRA,NZL,4,0,43000,Damir Matovinović,Yugoslavia,"Estadio Benito Villamarín, Seville",1982 FIFA World Cup Group 6
1982,group,1982-06-23,ITA,CMR,1,1,20000,Bogdan Dotchev,Bulgaria,"Balaídos, Vigo",1982 FIFA World Cup Group 1
1982,group,1982-06-24,ALG,CHI,3,2,16000,Rómulo Méndez,Guatemala,"Estadio Carlos Tartiere, Oviedo",1982 FIFA World Cup Group 2
1982,group,1982-06-24,FRA,TCH,1,1,28000,Paolo Casarin,Italy,"Estadio José Zorrilla, Valladolid",1982 FIFA World Cup Group 4
1982,group,1982-06-24,HON,YUG,0,1,25000,Gastón Castro,Chile,"La Romareda, Zaragoza",1982 FIFA World Cup Group 5
1982,group,1982-06-25,ENG,KUW,1,0,39700,Gilberto Aristizábal,Colombia,"San Mamés, Bilbao",1982 FIFA World Cup Group 4
1982,group,1982-06-25,ESP,NIR,0,1,49562,Héctor Ortiz,Paraguay,"Estadio Luis Casanova, Valencia",1982 FIFA World Cup Group 5
1982,group,1982-06-25,FRG,AUT,1,0,41000,Bob Valentine,Scotland,"El Molinón, Gijón",Disgrace of Gijón
1982,group-2,1982-06-28,AUT,FRA,0,1,37000,Károly Palotai,Hungary,"Vicente Calderón, Madrid",1982 FIFA World Cup Group D
1982,group-2,1982-06-28,POL,BEL,3,0,65000,Luis Paulino Siles,Costa Rica,"Camp Nou, Barcelona",1982 FIFA World Cup Group A
1982,group-2,1982-06-29,FRG,ENG,0,0,75000,Arnaldo Cézar Coelho,Brazil,"Santiago Bernabéu, Madrid",1982 FIFA World Cup Group B
1982,group-2,1982-06-29,ITA,ARG,2,1,43000,Nicolae Rainea,Romania,"Sarrià Stadium, Barcelona",1982 FIFA World Cup Group C
1982,group-2,1982-07-01,AUT,NIR,2,2,20000,Adolf Prokop,East Germany,"Vicente Calderón, Madrid",1982 FIFA World Cup Group D
1982,group-2,1982-07-01,BEL,URS,0,1,45000,Michel Vautrot,France,"Camp Nou, Barcelona",1982 FIFA World Cup Group A
1982,group-2,1982-07-02,ARG,BRA,1,3,44000,Mario Rubio Vázquez,Mexico,"Sarrià Stadium, Barcelona",1982 FIFA World Cup Group C
1982,group-2,1982-07-02,FRG,ESP,2,1,90089,Paolo Casarin,Italy,"Santiago Bernabéu, Madrid",1982 FIFA World Cup Group B
1982,group-2,1982-07-04,FRA,NIR,4,1,37000,Alojzy Jarguz,Poland,"Vicente Calderón, Madrid",1982 FIFA World Cup Group D
1982,group-2,1982-07-04,URS,POL,0,0,65000,Bob Valentine,Scotland,"Camp Nou, Barcelona",1982 FIFA World Cup Group A
1982,group-2,1982-07-05,ESP,ENG,0,0,75000,Alexis Ponnet,Belgium,"Santiago Bernabéu, Madrid",1982 FIFA World Cup Group B
1982,group-2,1982-07-05,ITA,BRA,3,2,44000,Abraham Klein,Israel,"Sarrià Stadium, Barcelona",Italy v Brazil (1982 FIFA World Cup)
1982,semi-final,1982-07-08,FRG,FRA,3,3,70000,Charles Corver,Netherlands,"Ramón Sánchez Pizjuán Stadium, Seville",West Germany v France (1982 FIFA World Cup)
1982,semi-final,1982-07-08,POL,ITA,0,2,50000,Juan Daniel Cardellino,Uruguay,"Camp Nou, Barcelona",1982 FIFA World Cup knockout stage
1982,third-place,1982-07-10,POL,FRA,3,2,28000,António Garrido,Portugal,"Estadio José Rico Pérez, Alicante",1982 FIFA World Cup knockout stage
1982,final,1982-07-11,ITA,FRG,3,1,90000,Arnaldo Cézar Coelho,Brazil,"Santiago Bernabéu, Madrid",1982 FIFA World Cup final
1986,group,1986-05-31,BUL,ITA,1,1,96000,Erik Fredriksson,Sweden,"Estadio Azteca, Mexico City",1986 FIFA World Cup Group A
1986,group,1986-06-01,CAN,FRA,0,1,35748,Hernán Silva,Chile,"Estadio Nou Camp, León",1986 FIFA World Cup Group C
1986,group,1986-06-01,ESP,BRA,0,1,65500,Chris Bambridge,Australia,"Estadio Jalisco, Guadalajara",1986 FIFA World Cup Group D
1986,group,1986-06-02,ARG,KOR,3,1,60000,Victoriano Sánchez Arminio,Spain,"Estadio Olímpico Universitario, Mexico City",1986 FIFA World Cup Group A
1986,group,1986-06-02,MAR,POL,0,0,19900,José Luis Martínez Bazán,Uruguay,"Estadio Universitario, San Nicolás de los Garza",1986 FIFA World Cup Group F
1986,group,1986-06-02,URS,HUN,6,0,16500,Luigi Agnolin,Italy,"Estadio Sergio León Chavez, Irapuato",1986 FIFA World Cup Group C
1986,group,1986-06-03,ALG,NIR,1,1,22000,Valeri Butenko,Soviet Union,"Estadio Tres de Marzo, Zapopan",1986 FIFA World Cup Group D
1986,group,1986-06-03,BEL,MEX,1,2,110000,Carlos Espósito,Argentina,"Estadio Azteca, Mexico City",1986 FIFA World Cup Group B
1986,group,1986-06-03,POR,ENG,1,0,23000,Volker Roth,West Germany,"Estadio Tecnológico, Monterrey",1986 FIFA World Cup Group F
1986,group,1986-06-04,PAR,IRQ,1,0,24000,Edwin Picon-Ackong,Mauritius,"Estadio Toluca 70–86, Toluca",1986 FIFA World Cup Group B
1986,group,1986-06-04,SCO,DEN,0,1,18000,Lajos Németh,Hungary,"Estadio Neza 86, Nezahualcóyotl",1986 FIFA World Cup Group E
1986,group,1986-06-04,URU,FRG,1,1,30500,Vojtěch Christov,Czechoslovakia,"Estadio La Corregidora, Querétaro",1986 FIFA World Cup Group E
1986,group,1986-06-05,FRA,URS,1,1,36540,Romualdo Arppi Filho,Brazil,"Estadio Nou Camp, León",1986 FIFA World Cup Group C
1986,group,1986-06-05,ITA,ARG,1,1,32000,Jan Keizer,Netherlands,"Estadio Cuauhtémoc, Puebla",1986 FIFA World Cup Group A
1986,group,1986-06-05,KOR,BUL,1,1,45000,Fallaj Al Shanar,Saudi Arabia,"Estadio Olímpico Universitario, Mexico City",1986 FIFA World Cup Group A
1986,group,1986-06-06,BRA,ALG,1,0,48000,Rómulo Méndez,Guatemala,"Estadio Jalisco, Guadalajara",1986 FIFA World Cup Group D
1986,group,1986-06-06,ENG,MAR,0,0,20200,Gabriel González,Paraguay,"Estadio Tecnológico, Monterrey",1986 FIFA World Cup Group F
1986,group,1986-06-06,HUN,CAN,2,0,13800,Jamal Al Sharif,Syria,"Estadio Sergio León Chavez, Irapuato",1986 FIFA World Cup Group C
1986,group,1986-06-07,MEX,PAR,1,1,114600,George Courtney,England,"Estadio Azteca, Mexico City",1986 FIFA World Cup Group B
1986,group,1986-06-07,NIR,ESP,1,2,28000,Horst Brummeier,Austria,"Estadio Tres de Marzo, Zapopan",1986 FIFA World Cup Group D
1986,group,1986-06-07,POL,POR,1,0,19915,Ali Bin Nasser,Tunisia,"Estadio Universitario, San Nicolás de los Garza",1986 FIFA World Cup Group F
1986,group,1986-06-08,DEN,URU,6,1,26500,Antonio Márquez Ramírez,Mexico,"Estadio Neza 86, Nezahualcóyotl",1986 FIFA World Cup Group E
1986,group,1986-06-08,FRG,SCO,2,1,30000,Ioan Igna,Romania,"Estadio La Corregidora, Querétaro",1986 FIFA World Cup Group E
1986,group,1986-06-08,IRQ,BEL,1,2,20000,Jesús Díaz,Colombia,"Estadio Toluca 70–86, Toluca",1986 FIFA World Cup Group B
1986,group,1986-06-09,HUN,FRA,0,3,31420,Carlos Silva Valente,Portugal,"Estadio Nou Camp, León",1986 FIFA World Cup Group C
1986,group,1986-06-09,URS,CAN,2,0,14200,Idrissa Traoré,Mali,"Estadio Sergio León Chavez, Irapuato",1986 FIFA World Cup Group C
1986,group,1986-06-10,ARG,BUL,2,0,65000,Berny Ulloa Morera,Costa Rica,"Estadio Olímpico Universitario, Mexico City",1986 FIFA World Cup Group A
1986,group,1986-06-10,KOR,ITA,2,3,20000,David Socha,United States,"Estadio Cuauhtémoc, Puebla",1986 FIFA World Cup Group A
1986,group,1986-06-11,ENG,POL,3,0,22700,André Daina,Switzerland,"Estadio Universitario, San Nicolás de los Garza",1986 FIFA World Cup Group F
1986,group,1986-06-11,IRQ,MEX,0,1,103763,Zoran Petrović,Yugoslavia,"Estadio Azteca, Mexico City",1986 FIFA World Cup Group B
