match_no,stage,group,date,time_local,team1,team2,score1,score2,stadium,city
69,group,J,2026-06-27,9:00 p.m. UTC−5,ALG,AUT,3,3,Arrowhead Stadium,Kansas City
70,group,J,2026-06-27,9:00 p.m. UTC−5,JOR,ARG,1,3,AT&T Stadium,Arlington
71,group,K,2026-06-27,7:30 p.m. UTC−4,COL,POR,0,0,Hard Rock Stadium,Miami Gardens
72,group,K,2026-06-27,7:30 p.m. UTC−4,COD,UZB,3,1,Mercedes-Benz Stadium,Atlanta
73,R32,,2026-06-28,12:00 p.m. UTC−7,RSA,CAN,,,SoFi Stadium,Inglewood
74,R32,,2026-06-29,4:30 p.m. UTC−4,GER,PAR,,,Gillette Stadium,Foxborough
75,R32,,2026-06-29,7:00 p.m. UTC−6,NED,MAR,,,Estadio BBVA,Guadalupe
76,R32,,2026-06-29,12:00 p.m. UTC−5,BRA,JPN,,,NRG Stadium,Houston
77,R32,,2026-06-30,5:00 p.m. UTC−4,FRA,SWE,,,MetLife Stadium,East Rutherford
78,R32,,2026-06-30,12:00 p.m. UTC−5,CIV,NOR,,,AT&T Stadium,Arlington
79,R32,,2026-06-30,7:00 p.m. UTC−6,MEX,ECU,,,Estadio Azteca,Mexico City
80,R32,,2026-07-01,12:00 p.m. UTC−4,ENG,COD,,,Mercedes-Benz Stadium,Atlanta
81,R32,,2026-07-01,5:00 p.m. UTC−7,USA,BIH,,,Levi's Stadium,Santa Clara
82,R32,,2026-07-01,1:00 p.m. UTC−7,BEL,SEN,,,Lumen Field,Seattle
83,R32,,2026-07-02,7:00 p.m. UTC−4,POR,CRO,,,BMO Field,Toronto
84,R32,,2026-07-02,12:00 p.m. UTC−7,ESP,AUT,,,SoFi Stadium,Inglewood
85,R32,,2026-07-02,8:00 p.m. UTC−7,SUI,ALG,,,BC Place,Vancouver
86,R32,,2026-07-03,6:00 p.m. UTC−4,ARG,CPV,,,Hard Rock Stadium,Miami Gardens
87,R32,,2026-07-03,8:30 p.m. UTC−5,COL,GHA,,,Arrowhead Stadium,Kansas City
88,R32,,2026-07-03,1:00 p.m. UTC−5,AUS,EGY,,,AT&T Stadium,Arlington
89,R16,,2026-07-04,5:00 p.m. UTC−4,PAR,FRA,,,Lincoln Financial Field,Philadelphia
90,R16,,2026-07-04,12:00 p.m. UTC−5,CAN,MAR,0,3,NRG Stadium,Houston
91,R16,,2026-07-05,4:00 p.m. UTC−4,BRA,NOR,,,MetLife Stadium,East Rutherford
92,R16,,2026-07-05,6:00 p.m. UTC−6,MEX,ENG,,,Estadio Azteca,Mexico City
93,R16,,2026-07-06,2:00 p.m. UTC−5,POR,ESP,,,AT&T Stadium,Arlington
94,R16,,2026-07-06,5:00 p.m. UTC−7,USA,BEL,,,Lumen Field,Seattle
95,R16,,2026-07-07,12:00 p.m. UTC−4,ARG,EGY,,,Mercedes-Benz Stadium,Atlanta
96,R16,,2026-07-07,1:00 p.m. UTC−7,SUI,COL,,,BC Place,Vancouver
97,QF,,2026-07-09,4:00 p.m. UTC−4,Winner Match 89,MAR,,,Gillette Stadium,Foxborough
98,QF,,2026-07-10,12:00 p.m. UTC−7,Winner Match 93,Winner Match 94,,,SoFi Stadium,Inglewood
99,QF,,2026-07-11,5:00 p.m. UTC−4,Winner Match 91,Winner Match 92,,,Hard Rock Stadium,Miami Gardens
100,QF,,2026-07-11,8:00 p.m. UTC−5,Winner Match 95,Winner Match 96,,,Arrowhead Stadium,Kansas City
101,SF,,2026-07-14,2:00 p.m. UTC−5,Winner Match 97,Winner Match 98,,,AT&T Stadium,Arlington
102,SF,,2026-07-15,3:00 p.m. UTC−4,Winner Match 99,Winner Match 100,,,Mercedes-Benz Stadium,Atlanta
103,3rd,,2026-07-18,5:00 p.m. UTC−4,Loser Match 101,Loser Match 102,,,Hard Rock Stadium,Miami Gardens
104,F,,2026-07-19,3:00 p.m. UTC−4,Winner Match 101,Winner Match 102,,,MetLife Stadium,East Rutherford
